FORWARD, model: 1, lights: 1, avg time: 0.000967
DEFERRED, model: 1, lights: 1, avg time: 0.003447
FORWARD, model: 1, lights: 8, avg time: 0.001160
DEFERRED, model: 1, lights: 8, avg time: 0.003991
FORWARD, model: 1, lights: 16, avg time: 0.001792
DEFERRED, model: 1, lights: 16, avg time: 0.005184
FORWARD, model: 1, lights: 64, avg time: 0.005569
DEFERRED, model: 1, lights: 64, avg time: 0.011735
FORWARD, model: 1, lights: 100, avg time: 0.008339
DEFERRED, model: 1, lights: 100, avg time: 0.015862
FORWARD, model: 25, lights: 1, avg time: 0.005284
DEFERRED, model: 25, lights: 1, avg time: 0.008652
FORWARD, model: 25, lights: 8, avg time: 0.008835
DEFERRED, model: 25, lights: 8, avg time: 0.009224
FORWARD, model: 25, lights: 16, avg time: 0.013419
DEFERRED, model: 25, lights: 16, avg time: 0.010263
FORWARD, model: 25, lights: 64, avg time: 0.041337
DEFERRED, model: 25, lights: 64, avg time: 0.016038
FORWARD, model: 25, lights: 100, avg time: 0.062415
DEFERRED, model: 25, lights: 100, avg time: 0.020384
FORWARD, model: 50, lights: 1, avg time: 0.008417
DEFERRED, model: 50, lights: 1, avg time: 0.011047
FORWARD, model: 50, lights: 8, avg time: 0.011821
DEFERRED, model: 50, lights: 8, avg time: 0.011633
FORWARD, model: 50, lights: 16, avg time: 0.016942
DEFERRED, model: 50, lights: 16, avg time: 0.012579
FORWARD, model: 50, lights: 64, avg time: 0.049338
DEFERRED, model: 50, lights: 64, avg time: 0.018287
FORWARD, model: 50, lights: 100, avg time: 0.073910
DEFERRED, model: 50, lights: 100, avg time: 0.022601
FORWARD, model: 75, lights: 1, avg time: 0.010778
DEFERRED, model: 75, lights: 1, avg time: 0.013474
FORWARD, model: 75, lights: 8, avg time: 0.014628
DEFERRED, model: 75, lights: 8, avg time: 0.013927
FORWARD, model: 75, lights: 16, avg time: 0.020364
DEFERRED, model: 75, lights: 16, avg time: 0.014847
FORWARD, model: 75, lights: 64, avg time: 0.057079
DEFERRED, model: 75, lights: 64, avg time: 0.020566
FORWARD, model: 75, lights: 100, avg time: 0.084966
DEFERRED, model: 75, lights: 100, avg time: 0.024874
FORWARD, model: 100, lights: 1, avg time: 0.013142
DEFERRED, model: 100, lights: 1, avg time: 0.015824
FORWARD, model: 100, lights: 8, avg time: 0.017298
DEFERRED, model: 100, lights: 8, avg time: 0.016273
FORWARD, model: 100, lights: 16, avg time: 0.023477
DEFERRED, model: 100, lights: 16, avg time: 0.017184
FORWARD, model: 100, lights: 64, avg time: 0.063138
DEFERRED, model: 100, lights: 64, avg time: 0.022874
FORWARD, model: 100, lights: 100, avg time: 0.093462
DEFERRED, model: 100, lights: 100, avg time: 0.027220
